Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
FINNIFTY,37071,29180,7891,27.04,136272,3604.53162,8095.33158,11699.86321,26770
HEROMOTOCO,76821,61127,15694,25.67,172329,233154.52698,13399.19832,246553.7253,4908
INDIGO,189338,160306,29032,18.11,386592,444245.88669,32856.8211,477102.70779,5462
KEI,19760,17000,2760,16.24,52561,101486.86084,2623.56787,104110.42871,5261
GVT&D,24558,21949,2609,11.89,45806,75304.32522,3922.43346,79226.75868,5050
MCX,74915,67080,7835,11.68,90583,244530.32924,11267.30995,255797.6392,2834
NAM-INDIA,19656,17607,2049,11.64,15879,60708.58787,219.006,60927.59387,1140
MIDCPNIFTY,178470,161203,17267,10.71,590363,200494.31191,35962.34652,236456.65843,14434
POLYCAB,36843,33393,3450,10.33,61596,165433.9355,4040.71005,169474.64555,9555
RADICO,8037,7291,746,10.23,10975,18796.57081,454.28118,19250.85199,3827
SUPREMEIND,21799,19862,1937,9.75,28989,63016.00721,921.48108,63937.4883,3423
VMM,12505,11460,1045,9.12,12506,49136.63622,165.21525,49301.85147,116
ONGC,119850,110708,9142,8.26,94000,178799.98545,4305.91342,183105.89887,233
ASTRAL,26220,24236,1984,8.19,29300,88804.86069,924.36633,89729.22702,1490
NIFTY,7813211,7255970,557241,7.68,55848264,2599606.6666,2674710.04169,5274316.7083,24056
BANDHANBNK,56227,52410,3817,7.28,103294,273726.71424,8427.72528,282154.43952,202
SBICARD,63326,59213,4113,6.95,97985,161171.7576,4752.82136,165924.57896,624
HINDZINC,65667,61688,3979,6.45,65966,133496.40127,4386.53059,137882.93186,518
NATIONALUM,72523,68157,4366,6.41,89430,165164.53031,6215.14818,171379.6785,333
MOTHERSON,46095,43344,2751,6.35,87818,240832.78107,7564.54674,248397.32781,151
BSE,100436,94495,5941,6.29,163647,292423.89073,19240.88192,311664.77265,3875
EICHERMOT,77017,72659,4358,6.0,123985,236822.87033,6944.80914,243767.67947,7600
UNOMINDA,15105,14285,820,5.74,39585,62207.65842,1627.73369,63835.39211,1137
MUTHOOTFIN,40958,38804,2154,5.55,72300,177559.41005,4487.88186,182047.29191,3023
CANBK,80418,76341,4077,5.34,52914,251830.16775,3120.75315,254950.9209,129
HINDALCO,127800,121842,5958,4.89,131883,278982.80746,6467.21117,285450.01863,952
BPCL,47836,45725,2111,4.62,48231,108480.34744,2496.89394,110977.24139,309
JINDALSTEL,37350,35717,1633,4.57,31812,103588.39975,1105.30443,104693.70418,1061
MAXHEALTH,42597,40838,1759,4.31,124421,128180.11389,6040.13025,134220.24414,1122
TIINDIA,19310,18532,778,4.2,35761,73864.66784,747.2921,74611.95994,3060
BHARTIARTL,194081,186783,7298,3.91,196267,651107.89825,5992.91654,657100.81479,1849
PIIND,34386,33168,1218,3.67,37265,97065.51186,934.90201,98000.41387,2679
LT,180940,174668,6272,3.59,211644,507230.83349,8937.7831,516168.6166,4202
MARUTI,176770,170886,5884,3.44,627069,454673.9361,29515.7174,484189.6535,13753
AUBANK,39807,38492,1315,3.42,52368,181550.6163,3344.5821,184895.1984,1038
SHRIRAMFIN,84186,81454,2732,3.35,126169,266864.47854,8788.39425,275652.87279,1030
NIFTYNXT50,2023,1962,61,3.11,2158,4696.81315,157.60311,4854.41627,72199
M&M,173989,168877,5112,3.03,308034,397283.76624,20237.90164,417521.66788,3185
SBIN,239130,232219,6911,2.98,335694,652264.05307,18705.02632,670969.0794,1045
PREMIERENE,26747,25993,754,2.9,31741,84626.8559,1472.68768,86099.54358,1045
ADANIPOWER,72389,70405,1984,2.82,70550,159212.95919,5808.98605,165021.94525,229
LTM,57771,56317,1454,2.58,45564,123259.74394,1424.98797,124684.73191,3762
KFINTECH,25527,24911,616,2.47,15146,26696.80217,327.66044,27024.46261,876
TVSMOTOR,93840,91597,2243,2.45,158917,395525.95416,6505.17306,402031.12722,3578
TATAPOWER,87983,85888,2095,2.44,66015,146346.39184,3260.53075,149606.9226,388
INDUSTOWER,104286,101960,2326,2.28,51249,211487.92574,1706.96779,213194.89353,393
ICICIBANK,315648,309290,6358,2.06,367583,1236675.40577,18967.21281,1255642.61858,1387
MAZDOCK,47558,46606,952,2.04,56703,103943.39845,2309.69375,106253.0922,2463
BAJFINANCE,153511,150534,2977,1.98,161530,551657.8125,6587.66362,558245.47612,981
OFSS,41432,40651,781,1.92,216922,207444.59358,20953.03983,228397.63341,10955
ETERNAL,139926,137417,2509,1.83,98136,354179.72561,2824.0626,357003.78822,255
PAYTM,49030,48154,876,1.82,80656,203712.61808,4417.89777,208130.51586,1122
DELHIVERY,26858,26387,471,1.78,28953,94220.47223,1460.46675,95680.93899,464
FORTIS,20074,19730,344,1.74,26454,74181.52517,1083.86028,75265.38546,953
ADANIENT,121624,119596,2028,1.7,150314,361509.2423,14769.67145,376278.91376,3040
LICI,45587,44857,730,1.63,46207,92530.43352,1417.52016,93947.95368,423
HYUNDAI,36600,36024,576,1.6,41568,137645.69615,505.43636,138151.13251,1966
SONACOMS,21816,21482,334,1.55,32192,106284.60321,2216.68699,108501.2902,619
TITAN,94325,92939,1386,1.49,107198,205663.94948,4481.33997,210145.28946,4290
MANAPPURAM,26625,26246,379,1.44,31280,129120.0606,1433.3322,130553.3928,318
BANKNIFTY,1693432,1670326,23106,1.38,6551398,1103928.34369,437566.15701,1541494.5007,58177
INDHOTEL,37086,36592,494,1.35,23964,114919.8451,458.8992,115378.7443,722
KOTAKBANK,129350,127745,1605,1.26,118569,554979.2622,3825.4876,558804.7498,409
UNITDSPR,42039,41583,456,1.1,56886,99491.51728,1840.78924,101332.30652,1385
TATASTEEL,163613,161885,1728,1.07,126387,271650.83247,5116.6786,276767.51107,188
SBILIFE,35763,35479,284,0.8,34549,127069.22523,656.1981,127725.42333,1742
IOC,52416,52001,415,0.8,33589,99034.58906,1935.44227,100970.03133,143
HINDPETRO,39541,39251,290,0.74,32447,112728.68435,2039.58,114768.26435,409
IREDA,37549,37275,274,0.74,24234,57239.40633,710.97627,57950.38261,127
DRREDDY,50314,49951,363,0.73,95403,235651.36268,5334.51981,240985.8825,1349
BAJAJ-AUTO,103840,103102,738,0.72,144510,287375.24452,5919.46756,293294.71209,9850
RECLTD,71519,71102,417,0.59,36315,80862.39945,1599.48162,82461.88107,364
CGPOWER,37813,37620,193,0.51,47924,153674.3016,2484.59556,156158.89716,941
ULTRACEMCO,83716,83327,389,0.47,95856,225015.93659,2430.0554,227445.99199,11455
IDFCFIRSTB,69938,69706,232,0.33,42635,189644.95298,1724.10563,191369.05861,79
BEL,157016,156504,512,0.33,132956,274977.85815,4466.29014,279444.14829,408
JSWSTEEL,80177,79941,236,0.3,46152,275517.66613,818.18849,276335.85462,1231
ITC,227564,227101,463,0.2,139785,256626.7853,3664.21093,260290.99624,290
MARICO,22426,22385,41,0.18,26322,100856.57052,1460.745,102317.31552,826
SRF,32150,32103,47,0.15,35667,74000.18848,1287.67562,75287.8641,2732
IDEA,126225,126043,182,0.14,65536,432854.32969,5924.17678,438778.50648,14
POWERGRID,70145,70044,101,0.14,57245,123880.11438,1571.57132,125451.6857,284
INDUSINDBK,82574,82507,67,0.08,67669,284742.60542,1935.4454,286678.05082,917
GODFRYPHLP,13589,13589,0,0.0,14492,46450.11156,436.71174,46886.8233,2238
HAVELLS,32934,32958,-24,-0.07,23663,93051.10515,484.19815,93535.3033,1178
NESTLEIND,38029,38066,-37,-0.1,32042,104589.4212,1100.5834,105690.0046,1409
SAIL,48445,48626,-181,-0.37,14302,79103.39888,540.77025,79644.16913,170
SUNPHARMA,114064,114494,-430,-0.38,80768,205622.24581,1595.41998,207217.66579,1861
AXISBANK,174131,174817,-686,-0.39,167661,597709.17825,7266.47993,604975.65818,1377
FEDERALBNK,60629,60871,-242,-0.4,46878,234174.86825,1664.311,235839.17925,323
BAJAJHLDNG,10441,10486,-45,-0.43,11225,15193.4745,117.1322,15310.6067,10625
CDSL,51181,51423,-242,-0.47,58459,130941.53924,2767.67347,133709.21271,1317
BANKBARODA,73388,73797,-409,-0.55,56426,258842.49475,2771.85636,261614.35111,279
TECHM,75643,76145,-502,-0.66,73928,258298.53186,2663.89134,260962.4232,1439
MOTILALOFS,13069,13159,-90,-0.68,11062,39969.75653,475.94292,40445.69945,948
MPHASIS,31020,31238,-218,-0.7,22923,94179.7087,578.9075,94758.6162,2264
BOSCHLTD,24741,24916,-175,-0.7,57049,117687.26075,2136.84821,119824.10896,40600
BRITANNIA,40144,40441,-297,-0.73,30762,89858.7503,947.44822,90806.19852,5235
HCLTECH,185241,186776,-1535,-0.82,207648,382945.25168,5781.81191,388727.06359,1100
GRASIM,67734,68305,-571,-0.84,49843,273511.04667,822.37082,274333.4175,3129
POLICYBZR,41488,41843,-355,-0.85,37418,77998.24112,790.5765,78788.81762,1611
PNB,65701,66336,-635,-0.96,41629,183300.4352,2307.2168,185607.652,107
ASIANPAINT,88939,89803,-864,-0.96,109003,221658.2203,3193.92597,224852.14627,2640
VEDL,162402,164035,-1633,-1.0,207410,160014.5497,6166.27907,166180.82877,273
BAJAJFINSV,88560,89458,-898,-1.0,59515,109197.5516,1581.32893,110778.88053,1766
PIDILITIND,23021,23271,-250,-1.07,29622,111080.23205,1139.31775,112219.5498,1595
GLENMARK,51470,52055,-585,-1.12,36419,192336.11092,688.47742,193024.58835,2150
YESBANK,70456,71282,-826,-1.16,37065,165825.19378,1746.64131,167571.83509,24
LICHSGFIN,36983,37421,-438,-1.17,28244,115668.3191,489.9894,116158.3085,550
SOLARINDS,29492,29845,-353,-1.18,36111,101965.50423,1536.19523,103501.69946,17431
ICICIGI,20733,20985,-252,-1.2,16965,77022.1397,154.05708,77176.19679,1819
DABUR,38950,39432,-482,-1.22,24116,65076.4825,833.90525,65910.38775,423
TORNTPHARM,36296,36781,-485,-1.32,33790,103424.4754,516.04443,103940.51983,4519
