Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,16-Jun-2026,22300,Put,78186,89279,-11093,-12.43,3.65,4.0,-8.75,956260,1771.47165,23622.9
NIFTY,Index Options,30-Jun-2026,22000,Put,54539,64058,-9518,-14.86,16.25,37.55,-56.72,84258,1100.28309,23622.9
NIFTY,Index Options,16-Jun-2026,22700,Put,55514,62373,-6859,-11.0,5.2,21.65,-75.98,956657,4334.13453,23622.9
NIFTY,Index Options,28-Jul-2026,21100,Put,14028,19645,-5617,-28.59,22.5,42.85,-47.49,26448,477.22771,23622.9
NIFTY,Index Options,30-Jun-2026,23200,Put,26101,31352,-5251,-16.75,111.05,309.35,-64.1,49348,5439.80275,23622.9
NIFTY,Index Options,30-Jun-2026,20000,Put,26872,31673,-4800,-15.15,4.1,5.0,-18.0,11823,30.50925,23622.9
NIFTY,Index Options,30-Jun-2026,21500,Put,25852,29745,-3893,-13.09,9.0,16.8,-46.43,28997,205.63222,23622.9
BANKNIFTY,Index Options,30-Jun-2026,60000,Put,25567,28129,-2562,-9.11,3175.0,4745.05,-33.09,11278,12830.22497,56814.8
NIFTY,Index Options,30-Jun-2026,22500,Put,52920,55433,-2513,-4.53,31.5,94.1,-66.52,98369,2793.53204,23622.9
NIFTY,Index Options,30-Jun-2026,24000,Put,71178,73657,-2478,-3.36,445.0,848.5,-47.55,28481,10399.11088,23622.9
NIFTY,Index Options,23-Jun-2026,22100,Put,2813,5178,-2365,-45.67,6.2,17.85,-65.27,23103,124.34034,23622.9
SBIN,Stock Options,30-Jun-2026,930,Put,2213,4550,-2337,-51.36,1.45,3.05,-52.46,7456,96.7416,1016.4
NIFTY,Index Options,30-Jun-2026,23300,Put,19906,22178,-2272,-10.24,135.0,357.35,-62.22,62747,8357.7749,23622.9
NIFTY,Index Options,30-Jun-2026,25000,Put,70704,72868,-2164,-2.97,1295.0,1787.3,-27.54,9629,8726.02608,23622.9
NIFTY,Index Options,30-Jun-2026,22200,Put,12963,15041,-2078,-13.82,19.85,53.45,-62.86,26399,462.61607,23622.9
BANKNIFTY,Index Options,30-Jun-2026,50000,Put,25309,27369,-2060,-7.53,21.1,47.2,-55.3,52204,413.61229,56814.8
NIFTY,Index Options,29-Dec-2026,21000,Put,13302,14923,-1621,-10.86,180.0,228.0,-21.05,6236,779.14454,23622.9
BANKNIFTY,Index Options,30-Jun-2026,48500,Put,4920,6477,-1557,-24.04,14.25,24.7,-42.31,9924,45.70002,56814.8
NIFTY,Index Options,30-Jun-2026,22400,Put,7664,9161,-1497,-16.34,26.55,77.5,-65.74,23249,576.66819,23622.9
NIFTY,Index Options,30-Jun-2026,21800,Put,8403,9766,-1363,-13.96,12.45,26.55,-53.11,14990,150.53707,23622.9
BANKNIFTY,Index Options,30-Jun-2026,49500,Put,11347,12685,-1338,-10.55,19.15,37.45,-48.87,22523,147.23285,56814.8
BANKNIFTY,Index Options,30-Jun-2026,55300,Put,4755,5977,-1222,-20.45,338.85,950.8,-64.36,14749,2342.61316,56814.8
HDFCBANK,Stock Options,30-Jun-2026,700,Put,5429,6648,-1219,-18.34,1.3,4.0,-67.5,8811,91.59034,771.95
PNB,Stock Options,30-Jun-2026,108,Put,216,1364,-1148,-84.16,2.88,5.62,-48.75,243,65.9016,107.1
NIFTY,Index Options,30-Jun-2026,22300,Put,5767,6864,-1097,-15.98,23.85,64.1,-62.79,20162,409.27851,23622.9
